Episodic Return: 146.85740661621094, Time Step 556000
Episodic Return: 191.10238647460938, Time Step 557000
Episodic Return: 327.1358337402344, Time Step 558000
Episodic Return: 350.9902038574219, Time Step 559000
Episodic Return: 346.3465576171875, Time Step 560000
Episodic Return: 242.22610473632812, Time Step 561000
Episodic Return: 268.6324157714844, Time Step 562000
Episodic Return: 275.9527282714844, Time Step 563000
Episodic Return: 207.1588134765625, Time Step 564000
Episodic Return: 316.0746154785156, Time Step 565000
Episodic Return: 294.4073486328125, Time Step 566000
Episodic Return: 229.10145568847656, Time Step 567000
Episodic Return: 315.9273986816406, Time Step 568000
Episodic Return: 356.0924072265625, Time Step 569000
Episodic Return: 318.58917236328125, Time Step 570000
Episodic Return: 340.1027526855469, Time Step 571000
Episodic Return: 269.12652587890625, Time Step 572000
Episodic Return: 295.5652160644531, Time Step 573000
Episodic Return: 303.07977294921875, Time Step 574000
Episodic Return: 247.43441772460938, Time Step 575000
Episodic Return: 169.01194763183594, Time Step 576000
Episodic Return: 261.03375244140625, Time Step 577000
Episodic Return: 255.11810302734375, Time Step 578000
Episodic Return: 247.02984619140625, Time Step 579000
Episodic Return: 263.3541564941406, Time Step 580000
Episodic Return: 319.73382568359375, Time Step 581000
Episodic Return: 328.6527404785156, Time Step 582000
Episodic Return: 323.00408935546875, Time Step 583000
Episodic Return: 280.86822509765625, Time Step 584000
