Episodic Return: 367.5594177246094, Time Step 434000
Episodic Return: 260.93719482421875, Time Step 435000
Episodic Return: 330.2908630371094, Time Step 436000
Episodic Return: 338.0806579589844, Time Step 437000
Episodic Return: 339.27032470703125, Time Step 438000
Episodic Return: 353.4619445800781, Time Step 439000
Episodic Return: 313.93115234375, Time Step 440000
Episodic Return: 350.59942626953125, Time Step 441000
Episodic Return: 349.73760986328125, Time Step 442000
Episodic Return: 332.7134094238281, Time Step 443000
Episodic Return: 345.6497802734375, Time Step 444000
Episodic Return: 359.2495422363281, Time Step 445000
Episodic Return: 360.3431091308594, Time Step 446000
Episodic Return: 341.3063049316406, Time Step 447000
Episodic Return: 367.6429138183594, Time Step 448000
Episodic Return: 366.5609436035156, Time Step 449000
Episodic Return: 355.1611633300781, Time Step 450000
Episodic Return: 360.75030517578125, Time Step 451000
Episodic Return: 349.78057861328125, Time Step 452000
Episodic Return: 371.58154296875, Time Step 453000
Episodic Return: 330.60565185546875, Time Step 454000
Episodic Return: 364.8222351074219, Time Step 455000
Episodic Return: 295.3466491699219, Time Step 456000
Episodic Return: 349.2531433105469, Time Step 457000
Episodic Return: 360.341796875, Time Step 458000
Episodic Return: 345.06866455078125, Time Step 459000
Episodic Return: 339.42059326171875, Time Step 460000
Episodic Return: 343.9176025390625, Time Step 461000
Episodic Return: 351.8298645019531, Time Step 462000
Episodic Return: 350.6615905761719, Time Step 463000
Episodic Return: 367.1040344238281, Time Step 464000
Episodic Return: 369.3051452636719, Time Step 465000
Episodic Return: 266.6878356933594, Time Step 466000
Episodic Return: 317.8955383300781, Time Step 467000
Episodic Return: 329.8193664550781, Time Step 468000
Episodic Return: 339.5884704589844, Time Step 469000
Episodic Return: 212.63319396972656, Time Step 470000
Episodic Return: 326.9679260253906, Time Step 471000
Episodic Return: 308.121826171875, Time Step 472000
Episodic Return: 370.5005798339844, Time Step 473000
Episodic Return: 337.9291076660156, Time Step 474000
Episodic Return: 348.6781921386719, Time Step 475000
Episodic Return: 253.57069396972656, Time Step 476000
Episodic Return: 354.0744934082031, Time Step 477000
Episodic Return: 200.41983032226562, Time Step 478000
Episodic Return: 335.6730041503906, Time Step 479000
Episodic Return: 326.3074951171875, Time Step 480000
Episodic Return: 342.6112060546875, Time Step 481000
Episodic Return: 341.85040283203125, Time Step 482000
Episodic Return: 215.70953369140625, Time Step 483000
Episodic Return: 313.459228515625, Time Step 484000
Episodic Return: 324.30975341796875, Time Step 485000
Episodic Return: 166.1617431640625, Time Step 486000
Episodic Return: 349.828857421875, Time Step 487000
Episodic Return: 352.6388854980469, Time Step 488000
Episodic Return: 264.13970947265625, Time Step 489000
Episodic Return: 337.6661071777344, Time Step 490000
Episodic Return: 344.0832824707031, Time Step 491000
Episodic Return: 277.6048278808594, Time Step 492000
Episodic Return: 328.51220703125, Time Step 493000
Episodic Return: 367.8452453613281, Time Step 494000
Episodic Return: 330.6642761230469, Time Step 495000
Episodic Return: 265.85455322265625, Time Step 496000
Episodic Return: 329.1282958984375, Time Step 497000
